LinkRef,freq,stds,mean_diff,mean_diff_diff,mean,stops
103524893:266482296:1195317079,48506,1.482076869081754,1.4726214034664238,2.4391532849938002,11.379071307311023,0
103524902:1242123651:1195317083,48769,2.0914304512292974,2.2507072499876437,3.9166972583027118,7.942429391365585,0
103524902:1242123670:3396253208,77790,1.3860550233806752,1.2169453867859106,2.119223073475654,5.535072032975033,1
103524902:3396253208:1242123651,55602,1.048961510004567,0.8098732409754303,1.4054323305934846,9.87544133751158,0
108233932:576722:4279694303,10514,2.3201801397027757,1.722585948145954,2.8875698323461196,10.157093620175816,0
108233935:4279694307:1195317078,45342,3.442302456413994,3.1339240395683508,5.421511597079648,3.9577012095221393,0
108233940:4459313602:4279694306,11746,2.6193057644018762,2.1063284688069612,3.6482818167225006,7.960275873430312,0
115678954:1306239263:576726,70430,1.650952598815399,1.8586990972020527,3.2424579523121038,4.614179773654481,1
115678957:282678754:1306239519,2252,1.3125655444654403,0.8316315455885339,1.1523913534685766,2.954442473624072,1
115678974:10939966:282678730,3961,1.4470015530831566,1.1949802001773475,1.893105292255681,7.300691637064315,0
115678974:576726:10939966,20379,1.822339555259585,1.7261169632333224,3.040062837562558,6.895113539272148,0
161632579:295133661:4459313617,71405,2.90591644168385,2.4094610950257667,4.172313510931017,4.3303829608102244,0
161632579:295133661:576724,8218,1.5924956515414546,1.4378629866204635,2.481330455520409,7.985853279574711,0
161632579:4459313617:295133661,33213,1.84220216298963,1.7302716990864933,2.9722415579801114,6.017785760554098,1
161632579:576724:295133661,14477,2.8758216150223617,2.2947430413994288,3.938807273209879,7.3561203890648414,0
161632579:576724:8121560,11213,1.5485183134229066,1.4663932940362585,2.5209279160449767,8.171995223337722,0
161632579:576725:8121560,55487,2.1082281398585994,1.6406866290317916,2.8340016929013685,8.413245428778243,0
161632579:8121560:576724,15168,2.7584408274928793,2.1356606125118645,3.7008574287058043,8.143094317189139,0
161632579:8121560:576725,77843,2.249804275382494,2.3294080793974716,4.06110912655467,5.738863100978782,1
162089321:1649562464:323206292,20719,2.3137330027454226,1.6599077184920399,2.8548727600303923,3.589210807937365,1
162089321:323206292:1649562464,13428,2.640613131435295,2.5229468577794743,4.300073214153335,8.343873690713107,1
162089324:1649384611:1649384672,3136,1.6472980960373218,1.3696075501740792,2.298097388813609,11.447780308953957,0
162089324:1649384672:1649462945,36420,2.066165976414665,1.4759751853333822,2.4659310669279897,10.722955697365377,0
162089324:1649462945:1649384672,36946,2.0217706873928947,1.4927689480193493,2.462856954942704,10.32635159879021,0
162089324:1649462945:20908184,6420,2.4532890488437884,1.864078717724078,3.0860709917097013,10.206315043822052,0
162089324:20908184:1649462945,6904,1.8274244089145135,1.5608219413472302,2.5293883293459354,8.958178280176785,0
237099598:1043107528:20908177,5234,2.7757602777813077,2.0530479636934817,3.363728136372038,7.264780534280219,0
237099598:1043107528:323206292,11791,2.378016504221143,2.1678311145325133,3.678474157079119,9.26135560754417,0
237099598:20908177:1043107528,3109,2.1681825407598767,1.8750148727807308,3.136418759605363,9.403947960332141,0
237099598:323206292:1043107528,17409,2.5112906223172065,1.8741233731293827,3.1475203729503702,7.147516689643364,0
241071582:104494208:21788474,6003,1.4089953136784132,1.085833587193895,1.8299359512938884,10.289186751780091,0
241071582:104494208:24950457,32025,1.490559875811951,1.4506952751823377,2.4680128725548136,10.129026473032411,0
241071582:1277414337:1277414356,6932,2.2958762917311937,1.8342565133765938,3.1265155865073124,7.175118698624403,1
241071582:1277414356:1277414337,6257,2.761892451075784,2.833181443278355,4.8661310617656675,7.8888213612526386,0
241071582:1277414356:24950457,3868,1.383982186874487,1.0889886584239092,1.828682535668958,8.959560567981397,0
241071582:21788474:104494208,14972,1.1036918712349386,0.9948399556741145,1.6886590709025209,9.784302784626778,0
241071582:24950457:104494208,30684,1.2984296337285441,1.0010175354824855,1.6727359567259703,10.48922305959091,0
241071582:24950457:1277414356,4326,2.2001561257453113,2.2316296836873644,3.827088525221165,8.799981773283351,0
25912891:282678730:289783814,47384,0.7650433694786327,0.7892053150646512,1.3691446771167088,3.14113671514668,1
25912893:282678754:576725,3830,1.497941584518381,1.1320367093059034,1.7854481016698898,6.843280255835755,0
25912893:576725:282678754,8941,1.3577688966939618,0.8995141293377056,1.5410741318617058,5.210585192760165,1
26176484:4929002367:266482296,73441,1.8311177713634992,1.6763793880008753,2.847382358883807,10.034440786860541,1
26176484:73082170:4929002367,10315,1.5938760864932047,1.3140944259307406,2.227712110432819,6.594083338766835,1
265654073:289783814:282678754,13305,1.287779727432295,1.1759308232830497,2.024817638438852,2.7907486089055276,1
265654074:1306239519:1306239263,43385,0.5945849106746837,0.5192690871770611,0.903794271527838,2.6809567838893344,1
318929337:20908383:4279694299,9784,1.7360073607395423,1.3435155937891223,2.222552852218738,11.070706492020703,0
318929337:4279694299:20908383,10694,2.132681809225667,1.9308409805281017,3.3010120873630338,10.798313275532578,0
35085344:3675352117:576713,38434,3.0614720550288173,2.966463708366171,5.113541320764951,6.572829179174431,1
35085344:576713:3675352117,35603,2.01699155924877,1.620557952028815,2.837466281839632,6.049508569591225,1
35205527:3675352117:576718,9586,1.3476897820050282,1.1421605056837607,1.9099348712098863,10.526901724036986,0
35205527:576718:3675352117,12786,2.149948640668108,1.5062057334536325,2.5105821651629023,9.204608583312003,0
39899568:20908159:20908160,15859,1.2472769738244915,1.229898493875047,2.084959061857563,11.496228463956058,0
39899568:20908160:20908159,17095,1.2711934539480794,1.2738152693414302,2.159772053569664,10.91314236147573,0
39899568:20908160:20908161,23163,1.3162048558581327,1.323105886274907,2.226542050089804,11.652095460655296,0
39899568:20908161:20908160,23812,1.4065703432137555,1.3844185265147853,2.3407191439929336,11.718664845270158,0
40667245:20908178:20908385,30194,2.3316515973036434,1.8516834194245129,3.108601199552385,4.953094479871268,1
40667245:20908178:792844,12925,2.4193173067684324,2.596905136791207,4.469521065951364,6.910310697663817,1
40667245:20908385:20908178,20506,3.0411168233878376,3.2837693937146173,5.719254010290051,7.238891924104122,0
40667245:20908385:792845,9473,2.714350158361341,2.0444029503926933,3.4332978890825103,6.610514408333302,0
40667245:4393824872:792845,17408,2.0760615597616643,1.5152253403625353,2.603577464229123,7.882448686066126,0
40667245:4393824872:792846,84262,1.3717505941310608,1.1946686455303654,2.0972140083033253,1.6882090751323975,1
40667245:792844:20908178,14420,2.0472102175585465,1.7686073291821756,3.0246995538965935,5.899384746353626,1
40667245:792845:20908385,3989,1.8139113461154437,1.6513978637144977,2.7338855024809665,8.968896402420727,0
40667245:792845:4393824872,63909,2.8369660388879963,2.031953270575788,3.481980775698503,3.940370607402551,0
40667245:792846:4393824872,36667,1.3217863870600863,1.0834728067030306,1.8691549595025891,3.0373892585811655,1
428851673:287560137:4279694293,2554,2.6992007409977097,2.186234140489219,3.5389969212211674,9.59373036687191,0
428851673:4279694293:287560137,2205,1.1974507767783553,0.9543477218225426,1.545552028795811,10.48519406318082,0
428851674:4279694300:576722,3732,1.9514208826515704,1.4632456447218325,2.389948112761202,10.911797168727412,0
428851674:576722:4279694300,3561,1.7989790594942217,1.5743866361456311,2.630278795811515,10.799469308278864,0
428851675:287560137:4279694292,6289,1.405711265298292,1.1425850262246693,1.902167209268521,10.939298086723724,0
428851675:4279694292:287560137,7719,2.8185285619291114,2.4222874400422842,4.081337559397849,9.6802460151011,0
428851677:4279694299:4279694300,6778,1.812384509314004,1.3988414180330657,2.3282841681576416,11.203594201529453,0
428851677:4279694300:4279694299,7245,1.893350730660071,1.7307368267642642,2.9151124387241154,10.706346958372631,0
428851678:279992577:4279694296,7172,3.0926157846146665,2.3722606507359787,4.098492053525945,5.733572235364823,1
428851678:4279694296:279992577,3383,1.9407076317779428,1.8715884535855105,3.002776635731556,9.627161932629813,0
428851679:4279694305:4279694307,9669,3.2200915461800443,2.979123377306574,5.001344810829685,6.926645043672501,0
428851680:279992577:4279694295,6310,1.673125734705086,1.5519134483832882,2.5408360673893218,8.787979799799448,0
428851680:4279694295:279992577,7511,2.251142945921443,2.0489783820406724,3.4399825404585935,8.110804310565596,0
428851681:20908383:4279694298,7589,1.9152172041217563,1.8594417396285106,3.1119443185370024,10.835734039558012,0
428851681:4279694298:20908383,7632,1.578770307731072,1.2212734392293552,2.038707506288685,10.65410458767773,0
428851682:1614362080:4279694292,3282,2.8360796867410443,2.218779019211896,3.5375642197008488,9.748412218015993,0
428851682:4279694292:1614362080,2782,1.8837852216996454,1.5120107267196865,2.482440905171765,11.000947538527196,0
428851683:4279694296:4279694298,23564,2.3881268769343573,2.1399457804873165,3.6579451343037874,7.248028254753185,1
428851683:4279694298:4279694296,25401,3.722815777895498,4.012638202174919,6.870796657696071,7.999143606033343,0
428851684:1614362060:576713,25315,3.213960373263934,3.3802208977580688,5.802282742647958,7.591400531381926,0
428851684:576713:1614362060,30640,2.081158934946403,1.7035795999383407,2.960712304836133,5.439265976110955,1
428851685:2599647200:4279694305,10674,2.9614859248647805,2.368637127996594,3.9003983411311025,8.39731355788287,0
428851686:576717:576718,48014,2.1879876134068783,1.8346467901221053,3.154242787958719,7.528099396908607,1
428851686:576718:576717,33401,3.0651855629311267,3.3468132252634772,5.734726237515376,8.925559143229922,0
428851687:4279694304:576722,8212,1.9021163896668039,1.6574446134928755,2.820892631148775,10.675608702238577,0
428851688:4279694306:4279694304,19272,2.9032172366242768,2.0383215904196463,3.448237267803991,9.144932095120275,1
448963753:4459313607:4459313602,11055,1.341310664781586,1.2574881326683007,2.177849236098346,7.7312563225115785,0
448963754:1195317078:4459313608,14084,1.441330031047553,1.2203078038527715,2.1149696407019056,7.001052154036595,0
448963755:4459313608:4459313617,64302,1.6589828718753723,1.678871379792827,2.9905990603617427,3.881876784147678,0
448963758:4459313617:4459313607,48455,2.4854180469626415,2.365755749482987,4.106169880046774,4.221478071941361,0
448963760:4459313608:4459313607,7127,1.7500752412281164,1.349158338495158,2.2151827324592053,6.500697099056745,0
448963763:10437895:4459313622,18403,1.3499070593660885,1.1643841418056944,1.9377932971421998,12.920074216351539,0
448963763:4459313622:10437895,15664,1.1506252119933351,1.0671359214614302,1.766773401655709,13.302946777709542,0
448963765:1065827673:4459313603,5703,2.0706432988977976,1.5931040234607179,2.7342156522157315,9.622136745637322,0
448963765:4459313603:1065827673,31887,2.993604393047181,2.779566336472589,4.749063355883217,3.5183668494510547,0
448963768:4459313602:1195317078,4469,1.8717755994020544,1.4218112754871293,2.17914474855767,6.8826952550258085,0
448963771:1085760670:1277414337,25185,2.305889661271549,1.7471938657929615,3.0322432444222107,4.6274746244191025,1
448963772:3425425153:4459313622,8141,1.157815968638972,1.0880716400270032,1.8151938853667426,13.110320572981841,0
448963772:4459313622:3425425153,2470,1.6272825050090838,1.1831579077993202,1.8376210688331271,12.485601806391621,0
448963774:1696110295:17710382,14657,2.496568733475785,2.3369248449820303,3.9229448729399006,7.22478752452854,0
448963776:1195317083:1242123649,57725,2.410560924380506,2.5649454032374575,4.42806688136207,5.59251590291285,0
448963778:17710382:1085760670,2457,1.6212125870182779,0.9817328855741212,1.3792730956169799,6.814840424869235,0
448963780:1280331077:2599647834,50310,2.38699884832738,2.0283453437983123,3.5484665374055053,3.2700437156922746,0
448963780:4459313610:1280331077,17174,1.925621910514321,1.7165789882555103,2.9841234144095408,4.854969630678117,0
448963783:4459313607:1065827673,12693,1.6483800825707664,1.444644242849503,2.483779656932807,8.88111781267511,0
448963784:10437895:266482296,24307,1.1431129048541924,1.039474436902563,1.7331185960974373,13.447401376936652,0
448963784:266482296:10437895,25265,1.2406028948893955,1.124521807980838,1.8578485525915638,13.168307067940649,0
448963785:1065827673:4459313602,33812,3.5119731637400684,3.0994499467149748,5.313029949228732,4.585416372022127,0
448963786:8081514:73082170,79733,2.792937522907409,2.4114939793129695,4.208059867771095,4.870508338116346,0
448963787:2599647834:4459313608,165940,1.4951912807579621,1.2206988266967038,2.2043164281917558,1.61294890832193,0
448963789:1242123649:4459313610,108415,0.9033878500655673,0.7744062503582083,1.3259645279178482,3.206568582489316,1
448963790:1195317078:295133659,28250,1.5586654677343257,1.3402626007990082,2.3563550447053885,6.7940111941746695,0
500955362:295133659:73095632,120354,0.7490861187976914,0.7899321712560409,1.3492184028067193,3.6469373151266185,1
500955362:73095632:73099256,40399,2.00474079724065,2.1703289188418964,3.8440467898282438,6.494565211598599,0
502197868:4927557854:1696110295,8752,2.6849496507120736,2.6266748270146834,4.379677111558825,8.497318510435658,0
502197869:1277414337:4927557855,22017,2.7569435697577247,2.911124636221533,4.9866324718254305,6.69394459282412,0
502418738:73082170:4929002366,43180,1.8774018672239472,1.767891282304919,3.0537282367179364,5.8823640695808415,1
502418739:4929002366:4929002367,90633,1.8029112708079729,1.5566785470798294,2.6193462762433612,3.0518557445350543,0
502418740:4929002367:4929002368,6117,1.5715477876427673,1.3978774700775511,2.2988485936041076,6.328026199024184,0
502418741:1195317079:4929002368,33929,3.74433350579005,3.6822706637213765,6.334976893615495,6.012475732557402,0
502418742:4929002368:1242123670,8040,1.5933628326857505,1.6137023641569572,2.71540989600549,8.105257643724606,0
502714814:4927557855:4927557854,38118,2.292083658583842,1.8972401739113078,3.3382232743521096,5.655236049731953,1
78412354:18165915:292907347,121810,2.213552388513951,1.7959831288401853,3.1199929432732545,5.0364553212324426,1
78412354:18165915:576726,127557,2.2224536797301586,2.170315055360778,3.8051364484152668,4.710764948584116,0
78412354:292907347:18165915,90023,1.4024495024131916,1.0667111013966362,1.8094978859516868,5.952314623747211,1
78412354:576726:18165915,68025,2.207410433316918,1.8617080627286684,3.200615904799896,8.270957537378788,0
78412355:20908177:319833065,18019,3.141642061194187,2.4696074833869495,4.203210026847753,6.39552845448926,0
78412355:319833065:20908177,9240,2.13096714742934,1.7777009956182859,3.0122365708549244,9.060054837451377,0
78412355:319833065:792846,96433,2.6112072307455203,2.120256183286047,3.6596632552675197,3.1944106201531866,0
78412355:792846:319833065,54245,1.6009191821635775,1.2901242949527425,2.203266124345863,4.284268285736913,1
8122758:292907347:792846,47558,1.569208284295243,1.6002778946179859,2.794028771365758,3.3148986492507735,1
8122758:792846:292907347,36871,1.329310551335217,1.1717553777390193,2.0363388850223423,3.4859563908172477,1
87341541:20908161:20908162,19198,1.73149891769031,1.6344432221926546,2.7283722852356,10.527755808599803,0
87341541:20908162:20908161,18524,1.3123458913309145,1.257316383982997,2.1413294972337615,10.88159691893757,0
87341541:20908162:792840,5962,1.5169399518963373,1.383162725809405,2.3510938296633346,10.416236813602872,0
87341541:792840:20908162,13231,1.7715632997673498,1.6542761974206708,2.8199201048600653,9.771426501086223,0
87341562:10776943:1649562493,8030,2.1976786509448814,1.8165057213082187,3.029025087753028,7.8121974080422065,1
87341562:10776943:20908184,15476,3.1102335896234674,2.8886702837879072,4.820361016369346,6.141103312896573,1
87341562:1649562464:1649562493,6117,2.0212687094994,1.876137591020905,3.112620539903092,8.472917552464715,0
87341562:1649562493:10776943,10544,2.978525014171138,2.49642689306447,4.20595155371504,6.583815302550425,1
87341562:1649562493:1649562464,11666,2.7839396526330207,1.5901538939342053,2.6971215463979026,4.767561053105034,1
87341562:20908184:10776943,13773,2.859279794847148,2.281990847071152,3.8481212727741156,9.032143557117585,0
87397711:18165903:20908384,51984,1.6884199945891893,1.164535062919285,2.0005768387548857,10.562653541827313,0
87397711:20908384:8081514,20424,2.129611127788469,1.5903365738326811,2.681534591027058,9.215063233770437,0
87397711:73099256:18165903,53849,1.265510197762635,1.0443616821299646,1.8103229512593755,10.621509608669248,0
87398581:1282580772:18165894,26300,2.249856672858608,1.963391788674991,3.2676882582670927,8.344813579230305,1
87398581:1282580772:21788483,15583,2.4251198866801373,2.285460352584783,3.9082672159194107,7.02894789439693,0
87398581:1411071138:8121572,16983,2.187797975041898,1.5799440965984646,2.6298638402612573,10.011222453846322,0
87398581:1411071138:8121576,4903,1.2692339220895132,1.133196414439365,1.8910153878976559,7.975644586481246,0
87398581:1696110319:21788483,21778,2.931836217624365,2.6621056801084926,4.4638321129851395,6.5275133955747044,0
87398581:1696110319:8121557,28936,1.9053862817821052,1.5602559548209305,2.684160458180437,5.716629130538948,1
87398581:18165894:1282580772,37995,2.9394724609406273,2.9586927038565896,5.097493921487652,6.83934620960093,0
87398581:18165894:4927557854,16142,1.565204630572814,1.4725793587086322,2.379908213410419,10.255942469985325,0
87398581:21788483:1282580772,13739,2.5233938044140998,2.097941597215493,3.499133487109019,7.006848695831221,1
87398581:21788483:1696110319,18931,2.0062024827591523,1.5207312207366452,2.632847042190406,5.7709420246421965,1
87398581:4459313603:8121556,8648,1.9713862130369377,1.5198260866461444,2.5430293134618203,9.88935268998514,0
87398581:4927557854:18165894,19292,1.677998376247652,1.4059685935138677,2.4469560997286752,9.556816705125232,0
87398581:8121556:4459313603,37206,3.068273062830043,2.322482256524353,3.983034458797733,4.040086802440635,0
87398581:8121556:8121568,18287,2.003714651372803,1.6762458084764376,2.841000120795544,9.91516924748541,0
87398581:8121557:1696110319,28787,3.2951616467016978,3.059040464439118,5.177430058847719,6.7571824828277816,0
87398581:8121557:8121711,24096,2.07931219906632,1.9149597242967586,3.229943674743077,8.2979456633841,0
87398581:8121568:8121556,31299,2.728322496742067,1.9790079787544528,3.3930493346208483,7.5317760166872185,0
87398581:8121568:8121572,25178,2.6229036759722963,2.492843828505121,4.205905086580572,8.735759270671117,0
87398581:8121572:1411071138,23821,2.777077400022609,2.6985184731550276,4.550806134825945,7.7329504700476415,0
87398581:8121572:8121568,25211,2.50270740335766,1.7072386951940088,2.8502026909281137,9.611762938642565,0
87398581:8121576:1411071138,4131,1.8706023905935412,1.6279743551051657,2.704342312323561,9.457198537027919,0
87398581:8121576:8121711,34355,1.8196623794008437,1.3865617393835348,2.3651336676136676,5.034762232217452,1
87398581:8121711:8121557,19328,1.4567623594307593,1.297144400304075,2.1541626918721306,9.401686685793132,0
87398581:8121711:8121576,36353,3.388217754358551,3.4853058307963165,5.978854564940519,6.360262250823646,0
87451616:1017928632:1306239377,12338,1.4719268402281414,1.1222928441948632,1.8695442774077535,10.433511717871237,0
87451616:1017928632:2025484761,28463,0.9369028468882048,0.8729862995035526,1.4746967500740567,10.196254687852342,0
87451616:1306239377:1017928632,22357,2.821137216463372,2.183585010814179,3.8565437971568737,4.610389023905433,1
87451616:1306239377:1306239666,10625,1.461274802665559,1.2414204940012254,1.9990943365171008,8.764963593802287,0
87451616:1306239666:1306239377,10857,1.7807091274689513,1.549398078553714,2.5959053663347236,7.893546125254167,1
87451616:1306239666:4121323609,44939,2.154915893554482,1.6716645214981762,2.7274491888438033,6.980636964635732,1
87451616:2025484761:1017928632,34784,0.997378120215429,0.8190099000082779,1.3262447687926795,10.930657635745403,0
87451616:4121323609:1306239666,24323,1.4025588639326403,1.1975319888304432,1.998240960502627,11.428990680503091,0
87451616:4121323609:4929002366,120867,1.4538472722350362,1.3812128818020215,2.288962019528596,9.654443739520726,1
87451616:4929002366:4121323609,96719,1.0277148820490505,0.8783368396305851,1.4813619602617825,11.607629810409337,0
87502481:4279694293:4279694295,27982,3.3170465329593632,3.0799419294378176,5.307120305509314,7.7764004422633315,0
87502481:4279694295:4279694293,41956,2.86419006865463,2.431636138734546,4.153667051483991,5.313942266104036,1
87502482:1614362060:1614362080,15399,2.474128994595691,1.89217162589897,3.1590114439592156,9.615088714334595,0
87502482:1614362080:1614362060,16012,2.8724271763292077,2.31125989989254,3.8528038905604407,9.94824215095056,0
87724803:20908158:20908159,16652,1.238107632832291,1.1820777874454425,2.013199508579052,10.18449797057669,0
87724803:20908158:792844,30886,2.9018690210282116,3.1641070307944488,5.3813374707873525,6.1121381192628546,1
87724803:20908159:20908158,18574,1.4758291337817158,1.498316796983502,2.556903965271988,9.709289662448983,0
87724803:792844:20908158,25824,2.3360268847089367,2.2636600675991585,3.9394194408953997,6.138235572537845,1
